type;material name;length;width;thickness;material number;stock;stock av;stock1;stock2;stock3;stock4;stock5;stock6;reserved stock;customer ID;stock manual rests;stock of block storage;density
210;BostonOak16_WoodMatt_PT_31x12_G2S_PT54309;3130;1210;16;0;1;1;1;0;0;0;0;0;0;PT54309;0;0;790;
211;CB16_24x12_G2S_PT44884;2420;1210;16;0;2;2;2;0;0;0;0;0;0;PT44884;0;0;790;
212;CB16_24x12_G2S_SKU985329;2420;1210;16;0;1;1;1;0;0;0;0;0;0;SKU985329;0;0;790;
215;OysterGrey25_Flint_lmx_36x18_G2S_SKU959174;3625;1820;25;0;3;3;3;0;0;0;0;0;0;SKU959174;0;0;790;
216;NataioWalnut25_WoodMatt_PT_36x18_G2S_PT47459;3625;1820;25;0;6;6;6;0;0;0;0;0;0;PT47459;0;0;790;
220;Ply25_Natural_TrdM_24x12_G2S_TRDM290724230;2440;1220;25;0;3;3;3;0;0;0;0;0;0;TRDM290724230;0;0;790;
223;OysterGrey33_Flint_LMX_36x18_G2S_SKU959226;3630;1820;33;0;1;1;1;0;0;0;0;0;0;SKU959226;0;0;790;
228;Plywood18_Structural_Trd_24x12_G2S_PLY241218;2440;1220;18;0;49;49;49;0;0;0;0;0;0;PLY241218;0;0;790;
229;MoroccanClay_Flint_LMX_36x18_G2S_SKU402849;3625;1820;18;0;3;3;3;0;0;0;0;0;0;SKU402849;0;0;790;
232;FlorentineWalnut25_WoodMatt_PT_36x18_G2S_PT47457;3625;1820;25;0;6;6;6;0;0;0;0;0;0;PT47457;0;0;790;
233;NaturalWhite25_Matt_PT_36x18_G2S_PT26488;3630;1820;25;0;1;1;1;0;0;0;0;0;0;PT26488;0;0;790;
236;PlantationAsh18_WoodMatt_MDF_36x18_G2S_PT52657;3625;1820;18;0;7;7;7;0;0;0;0;0;0;PT52657;0;0;790;
238;TasOakCrn19_Venner__27x12_G2S_FaceUp_TW338639;2700;1200;19;0;1;1;1;0;0;0;0;0;0;TW338639;0;0;790;
251;SoftWalnut25_Matt_PT_36x18_G2S_PT46318;3625;1820;25;0;1;1;1;0;0;0;0;0;0;PT46318;0;0;790;
252;ClassicWhite18_Sheen_PT_24x12_G2S_PT1076CWS;2420;1210;18;0;1;1;1;0;0;0;0;0;0;PT1076CWS;0;0;790;
256;Black16_FlintMDF_Lmx_24x12_G2S_SKU947961BLF;2420;1210;16;0;4;4;4;0;0;0;0;0;0;SKU947961BLF;0;0;790;
257;ByronBlackButt18_Mdf_Nav_36X12_FaceUp_030924345;3620;1210;18;0;1;1;1;0;0;0;0;0;0;030924345;0;0;790;
261;Parchment33_Flint_Pb_LMX_36x18_G2S_SKU881589;3630;1820;33;0;5;5;5;0;0;0;0;0;0;SKU881589;0;0;790;
264;Plywood15_Structural_Trd_24x12_G2S_PLY241215;2420;1210;15;0;6;6;6;0;0;0;0;0;0;PLY241215;0;0;790;
266;CalmWhite18_Natural_Lmx_24x12_G2S_SKU985230;2420;1210;18;0;4;4;4;0;0;0;0;0;0;SKU985230;0;0;790;
269;ByronBlackButt18_Mdf_Nav_36X12_FaceUp_110924702;3040;1210;17;0;1;1;1;0;0;0;0;0;0;110924702;0;0;790;
275;Oasis18_Venette_24x12_G2S_PT54741;2420;1210;18;0;2;2;2;0;0;0;0;0;0;PT54741;0;0;790;
288;Seasonoak18_Natural_Lmx_36x18_G2S_SKU959133;3620;1818;18;0;1;1;1;0;0;0;0;0;0;SKU959133;0;0;790;
289;Topiary18_Smooth_PT_31x12_G2S_PT56690;3125;1212;18;0;10;10;10;0;0;0;0;0;0;PT56690;0;0;790;
291;Terril18_AbsMatt_LMX_24x12_G2S_SKU988698;2420;1210;18;0;3;3;3;0;0;0;0;0;0;SKU988698;0;0;790;
295;SublimeTeak33_Natural_LMX_36x18_G2S_SKU974619;3630;1820;33;0;2;2;2;0;0;0;0;0;0;SKU974619;0;0;790;
306;ClassicOak18_Nuance_Lmx_36x12_G2S_SKU995830;3630;1210;18;0;1;1;1;0;0;0;0;0;0;SKU995830;0;0;790;
309;Sarsengrey18_Flint_Lmx_24x12_G2S_SKU888165;2420;1210;18;0;1;1;1;0;0;0;0;0;0;SKU888165;0;0;790;
314;NataioWalnut25_WoodMatt_PT_24x12_G2S_PT47261;2420;1210;25;0;1;1;1;0;0;0;0;0;0;PT47261;0;0;790;
316;Black25_WoodMatt_PT_24x12_G2S_PT47265;2420;1210;25;0;1;1;1;0;0;0;0;0;0;PT47265;0;0;790;
317;CB16_24x12_G2S_SKU948231;2420;1210;16;0;2;2;2;0;0;0;0;0;0;SKU948231;0;0;790;
318;AbsoluteMatte18_Black_PT_36x12_G2S_PT989616;3630;1212;18;0;1;1;1;0;0;0;0;0;0;PT989616;0;0;790;
319;Alaskan25_NaturalPb_Lmx_36x18_G2S_SKU959146;3630;1820;25;0;2;2;2;0;0;0;0;0;0;SKU959146;0;0;790;
321;DanishWalnut33_Natural_PB_36x18;3630;1820;33;0;1;1;1;0;0;0;0;0;0;SKU401106;0;0;790;
322;TasOak10_Veneer_TBW_24X12_G1S_TBW1710241545;2420;1210;10;0;1;1;1;0;0;0;0;0;0;TBW1710241545;0;0;790;
324;SpottedGum19_Veneer_TBW_27X12_G2S_TBW330409;2705;1205;19;0;1;1;1;0;0;0;0;0;0;TBW330409;0;0;790;
329;TurossOak25_MattMDF_PT_36x18_G2S_PT26578;3630;1820;25;0;1;1;1;0;0;0;0;0;0;PT26578;0;0;790;
334;BurnishedWood18_Natural_Lmx_36x18_G2S_SKU959105;3630;1820;18;0;1;1;1;0;0;0;0;0;0;SKU959105;0;0;790;
338;Moose18_NaturalMdf_Lmx_24x12_G2S_SKU943150;2420;1210;18;0;5;5;5;0;0;0;0;0;0;SKU943150;0;0;790;
339;CB16_24x12_G1S_CAT1138D;2420;1210;16;0;1;1;1;0;0;0;0;0;0;CAT1138D;0;0;790;
344;PlantationOak19_TBW_27x12_G2S_TBW335867;2705;1205;19;0;1;1;1;0;0;0;0;0;0;TBW335867;0;0;790;
346;OysterGrey25_MattPB_PT_36x18_G2S_PT44079;3630;1820;25;0;11;11;11;0;0;0;0;0;0;PT44079;0;0;790;
347;White25_Flint_GR_24X18_G2S_GRW2000252418;2440;1830;25;0;7;7;7;0;0;0;0;0;0;GRW2000252418;0;0;790;
351;Black12_FlintMdf_Lmx_24x12_G2S_SKU948064;2420;1210;12;0;5;5;5;0;0;0;0;0;0;SKU948064;0;0;790;
355;LuxeFeaturedBlackButt_2420x1210;2420;1210;25;0;5;5;5;0;0;0;0;0;0;TBW021224;0;0;790;
356;Black25_MattPB_PT_36x18_G2S_PT26636;3630;1820;25;0;3;3;3;0;0;0;0;0;0;PT26636;0;0;790;
357;Kalamata18_FlintMdf_Lmx_24x12_G2S_SKU994076;2420;1210;18;0;1;1;1;0;0;0;0;0;0;SKU994076;0;0;790;
360;GreyStone18_FlintPB_LMX_36x18_G2S_SKU993308;3630;1820;18;0;1;1;1;0;0;0;0;0;0;SKU993308;0;0;790;
362;AgedAsh18_Natural_2420x1212;2420;1212;18;0;7;7;7;0;0;0;0;0;0;SKU985372;0;0;790;
364;ElegantOak33_Natural_3630x1818;3630;1820;33;0;2;2;2;0;0;0;0;0;0;SKU982655;0;0;790;
365;CB16_2418x1212_SKU985212;2418;1212;16;0;1;1;1;0;0;0;0;0;0;SKU985212;0;0;790;
370;HamiltonOak18_G2S_FaceUP_Natural_3620x1220;3630;1210;18;0;4;4;4;0;0;0;0;0;0;161224322;0;0;790;
371;Black25Matt_MDF_3625X1818;3625;1818;25;0;1;1;1;0;0;0;0;0;0;PT26474;0;0;790;
372;NewUltraWhite18Gloss_1GS_FaceUp;3116;1212;18;0;1;1;1;0;0;0;0;0;0;PT43859;0;0;790;
376;PlantationOak19_TBW_30x12_G2S_TBW140125230;3040;1210;19;0;1;1;1;0;0;0;0;0;0;TBW140125230;0;0;790;
378;TerrilFlint18_Mdf_Lmx_24x12_G2S_SKU985360;2420;1210;18;0;9;9;9;0;0;0;0;0;0;SKU985360;0;0;790;
379;Bayleaf18_FlintMdf_Lmx_24x12_G2S_SKU948086;2420;1210;18;0;18;18;18;0;0;0;0;0;0;SKU948086;0;0;790;
382;EppingDoor18_Rac_CHINA_24X12_G2S_DOORRAC2;2400;1200;18;0;2;2;2;0;0;0;0;0;0;DOORRAC2;0;0;790;
385;White18_FlintPB_2440X1830_GRW_GRW2000182418;2440;1830;18;0;21;21;21;0;0;0;0;0;0;GRW2000182418;0;0;790;
387;Purple18_FaceDownG2S_3630X1210_PURPLE18G2S;3630;1212;18;0;1;1;1;0;0;0;0;0;0;PURPLE18G2S36;0;0;790;
392;Cam_RL_CarcassWhite18_2400x1200;2400;1200;18;0;2;2;2;0;0;0;0;0;0;CAMRLCW18;0;0;790;
393;Cam_RAC_L1L2Bedhead18_2400x1200;2400;1200;18;0;2;2;2;0;0;0;0;0;0;CAML1BED18;0;0;790;
394;Cam_RAC_L1L2Face18_2400x1200;2400;1200;18;0;2;2;2;0;0;0;0;0;0;CAMRACL1FACE18;0;0;790;
395;Cam_RAC_L1L2Face25_2400x1200;2400;1200;25;0;4;4;4;0;0;0;0;0;0;CAMRACL1FACE25;0;0;790;
397;Cam_RAC_L3L4_Face25_2400X1200;2400;1200;25;0;4;4;4;0;0;0;0;0;0;CAMRACL3FACE25;0;0;790;
398;Cam_RAC_Misc18_WhiteTimber_2400x1200;2400;1200;18;0;4;4;4;0;0;0;0;0;0;CAMMISCWHITE18;0;0;790;
399;HamiltonOak18_G2S_2800x1830;2800;1830;18;0;1;1;1;0;0;0;0;0;0;HAMILTOAK18G2S;0;0;790;
400;Purple18_G2S_2800X1830;2800;1830;18;0;1;1;1;0;0;0;0;0;0;PURPLE18G2S28;0;0;790;
403;AgedAsh16_Natural_2420x1210;2420;1210;16;0;2;2;2;0;0;0;0;0;0;SKU985335;0;0;790;
405;JustBlue16_Natural_2420x1210;2420;1210;16;0;1;1;1;0;0;0;0;0;0;SKU985331;0;0;790;
414;NataioWalnut33_WoodMatt_3630x1820_PT47473;3630;1820;33;0;2;2;2;0;0;0;0;0;0;PT47473;0;0;790;
417;RLWhite9_2400x1200_CAMRL9WHITE;2400;1200;9;0;4;4;4;0;0;0;0;0;0;CAMRL9WHITE;0;0;790;
418;RLGOLD25_2400X1200_CAMRLGOLD25;2400;1200;25;0;7;7;7;0;0;0;0;0;0;CAMRLGOLD25;0;0;790;
419;RLGREY25_2400X1200_CAMRLGREY25;2400;1200;25;0;6;6;6;0;0;0;0;0;0;CAMRLGREY25;0;0;790;
420;RLGREY18_2400X1200_CAMRLGREY18;2440;1220;18;0;7;7;7;0;0;0;0;0;0;CAMRLGREY18;0;0;790;
421;RLCARCASS16_WHITE_2400X1200_RLCAMCAR16;2440;1220;16;0;4;4;4;0;0;0;0;0;0;RLCAMCAR16;0;0;790;
423;RLGOLD18_2400x1200_RLCAMRLGOLD18;2400;1200;18;0;26;26;26;0;0;0;0;0;0;RLCAMRLGOLD18;0;0;790;
427;Parchment18_HPL_G1SFD_3620X1210_SMCPAR1GSFD;3620;1210;18;0;1;1;1;0;0;0;0;0;0;SMCPAR1GSFD;0;0;790;
431;StainlessSteel16_Brushed_2415x1215_200225233;2415;1215;16;0;1;1;1;0;0;0;0;0;0;200225233;0;0;790;
432;Aluminium16_Matt_2420x1210_PT2501;2420;1210;16;0;6;6;6;0;0;0;0;0;0;PT2501;0;0;790;
436;TyroleanBlue18_G2S_2800X1830_TYRBLU18G2S2818;2800;1830;18;0;1;1;1;0;0;0;0;0;0;TYRBLU18G2S281;0;0;790;
439;Seed16_Natural_2420x1210_SKU985219;2420;1210;16;0;1;1;1;0;0;0;0;0;0;SKU985219;0;0;790;
440;AmericanOak18_FaceUp_2420x1210_AMROAK18;2420;1210;18;0;5;5;5;0;0;0;0;0;0;AMROAK18;0;0;790;
441;NaturalOak33_Matt_3625x1820_PT43669;3625;1820;33;0;3;3;3;0;0;0;0;0;0;PT43669;0;0;790;
446;Greenslate18_G2S_3625X1210_SMCGS2GS;3625;1210;18;0;1;1;1;0;0;0;0;0;0;SMCGS2GS;0;0;790;
447;Greenslate32_G1S_FaceUp_3020x1210_SMCG32G1S;3020;1210;32;0;4;4;4;0;0;0;0;0;0;SMCG32G1S;0;0;790;
448;Greenslate18_G1S_FaceUp_3020X1210_SMCGSG1SFU;3020;1210;18;0;1;1;1;0;0;0;0;0;0;SMCGSG1SFU;0;0;790;
450;Parchment32_HPL_G1S_3020X1210_SMCPAR321GSFD;3020;1210;32;0;1;1;1;0;0;0;0;0;0;SMCPAR321GSFD;0;0;790;
451;Plywood12_Structural_2440x1220_PLY12TRD;2440;1220;12;0;3;3;3;0;0;0;0;0;0;PLY12TRD;0;0;790;
452;WhiteMountainOak18_Diamond_3630x1215_NAVDWO18G2S;3630;1215;18;0;2;2;2;0;0;0;0;0;0;NAVDWO18G2S;0;0;790;
455;Purple18_FaceDownG1S_3615X1210_PURPLE18G1S;3615;1210;18;0;1;1;1;0;0;0;0;0;0;PURPLE18G1S;0;0;790;
461;PremiumWhite18_G1S_3615X1210_PRMWHITE18G1S;3615;1210;18;0;1;1;1;0;0;0;0;0;0;PRMWHITE18G1S;0;0;790;
467;PlantationOak17_FaceUp_2405x1205_TBW334674;2405;1205;17;0;3;3;3;0;0;0;0;0;0;TBW334674;0;0;790;
471;NiagaraGreen18_2800x1350_NIAGREEN18;2800;1350;18;0;1;1;1;0;0;0;0;0;0;NIAGREEN18;0;0;790;
475;TyroleanBlue18_G2S_2800x1215_TYRBLUE18G2S2812;2800;1215;18;0;2;2;2;0;0;0;0;0;0;TYRBLUE18G2S28;0;0;790;
485;TyroleanBlue36_G1S_FaceUp_2800x1215_TYRBLU36FU;2800;1215;36;0;1;1;1;0;0;0;0;0;0;TYRBLU36FU;0;0;790;
486;ForestGreen36_G1S_FaceUp_2800x1215_FORGREEN36G1SFU;2800;1215;36;0;3;3;3;0;0;0;0;0;0;FORGREEN36G1SF;0;0;790;
490;PremiumWhite18_G2S_3620X1207_PRMWHITE18G2S;3620;1207;18;0;7;7;7;0;0;0;0;0;0;PRMWHITE18G2S;0;0;790;
491;VincenzaOak27_G2S_3625x1207_VINENZAOAK27G2S;3625;1207;27;0;7;7;7;0;0;0;0;0;0;VINENZAOAK27G2;0;0;790;
493;EcruOak25_WM_MDF_2420x1212_PT57141;2420;1212;25;0;13;13;13;0;0;0;0;0;0;PT57141;0;0;790;
494;MaisonOak33_Matt_3625x1818_PT46882;3625;1818;33;0;6;6;6;0;0;0;0;0;0;PT46882;0;0;790;
498;Cinder18_MattPB_3630x1820_PT46696;3630;1820;18;0;12;12;12;0;0;0;0;0;0;PT46696;0;0;790;
520;MarinePly25_2440x1220_MARPLY25;2440;1220;25;0;2;2;2;0;0;0;0;0;0;MARPLY25;0;0;790;
525;Cranberry18_G2S_2420X1215_CRANBERRY18G2S;2420;1215;18;0;1;1;1;0;0;0;0;0;0;CRANBERRY18G2S;0;0;790;
528;Magnetic12_G1SFU_2410X1205_MAGNETIC12;2410;1205;12;0;1;1;1;0;0;0;0;0;0;MAGNETIC12;0;0;790;
529;PrimeOak25_WoodMatt_2420x1210_PT47262;2420;1210;25;0;1;1;1;0;0;0;0;0;0;PT47262;0;0;790;
533;LigurianWalnut16_Woodmatt_2420x1210_PT52544;2420;1210;16;0;4;4;4;0;0;0;0;0;0;PT52544;0;0;790;
535;MercurioGrey25_Smooth_3125x1215_PT56685;3125;1215;25;0;1;1;1;0;0;0;0;0;0;PT56685;0;0;790;
536;ligurianWalnut16_WoodMatt_3130x1215_PT54310;3130;1215;16;0;6;6;6;0;0;0;0;0;0;PT54310;0;0;790;
538;Battalion18_Flint_3630x1820_SKU982267;3630;1820;18;0;2;2;2;0;0;0;0;0;0;SKU982267;0;0;790;
540;NataioWalnut18_Matt_3630x1820_PT53452;3630;1820;18;0;17;17;17;0;0;0;0;0;0;PT53452;0;0;790;
542;FlorentineWalnut33_WoodMatt_3630x1820_PT47471;3630;1820;33;0;4;4;4;0;0;0;0;0;0;PT47471;0;0;790;
543;SatraWood33_Ravine_3630x1820_PT43056;3630;1820;33;0;1;1;1;0;0;0;0;0;0;PT43056;0;0;790;
548;Surf16_Natural_2420x1210_SKU985221;2420;1210;16;0;1;1;1;0;0;0;0;0;0;SKU985221;0;0;790;
549;CalmOak25_Natural_2420x1820_SKU410135;2420;1820;25;0;21;21;21;0;0;0;0;0;0;SKU410135;0;0;790;
551;White12_Flint_3630x1820_SKU713209;3630;1820;12;0;18;18;18;0;0;0;0;0;0;SKU713209;0;0;790;
555;PremiumWhite18_Oak_G1SFD_2800X1225_PRMWHITEOAK18;2805;1225;18;0;8;8;8;0;0;0;0;0;0;PRMWHITEOAK18;0;0;790;
